0,2.2,2,,x (in G's),y (in G's),z (in G's)
239,2.2,2,,0.106094,-0.82605,-0.525085
240,2.2,2,,0.087982,-0.858398,-0.490753
241,2.1,2,,0.091843,-0.903671,-0.509003
242,2.1,2,,0.117447,-0.909088,-0.520554
243,2.1,2,,0.128098,-0.911301,-0.522308
244,1.8,2,,0.132767,-0.907089,-0.523575
245,1.7,2,,0.100845,-0.874084,-0.529236
246,1.7,2,,0.089798,-0.834442,-0.488846
247,2.1,2,,0.078461,-0.857666,-0.492935
248,1.4,1,,0.103134,-0.865524,-0.500534
249,1.4,1,,0.083923,-0.891205,-0.524399
250,1.7,2,,0.108887,-0.866577,-0.498489
251,1.5,2,,0.10405,-0.891495,-0.526108
252,2.1,2,,0.11586,-0.884155,-0.547394
253,1.2,1,,0.087601,-0.883987,-0.56044
254,1.3,1,,0.059006,-0.843658,-0.551727
255,1.4,1,,0.066849,-0.820358,-0.48671
256,1.3,1,,0.06871,-0.879761,-0.482864
257,1.3,1,,0.093491,-0.942047,-0.539917
258,1.2,1,,0.118774,-0.936661,-0.521896
259,1.3,1,,0.119965,-0.873108,-0.50322
260,1.2,1,,0.090546,-0.855469,-0.462082
261,1.2,1,,0.080368,-0.900787,-0.51181
262,1.5,2,,0.100723,-0.896011,-0.536407
263,1.9,2,,0.020935,-0.898422,-0.551743
264,1.7,2,,-0.008286,-0.857498,-0.485611
265,2.1,2,,-0.01384,-0.838211,-0.446762
266,1.5,2,,-0.015564,-0.894958,-0.505569
267,1.2,1,,0.028625,-0.969193,-0.600403
268,1.5,2,,0.066559,-0.889694,-0.546616
269,1.8,2,,0.051926,-0.879639,-0.515091
270,1.5,2,,0.052292,-0.897614,-0.504654
271,1.1,1,,0.031677,-0.909561,-0.56134
272,1.2,1,,0.066238,-0.880493,-0.532578
273,1.3,1,,0.030075,-0.899124,-0.51709
274,2.1,2,,0.040421,-0.89267,-0.548691
275,2.2,2,,-0.00116,-0.852356,-0.535461
276,1.3,1,,0.003891,-0.821854,-0.506378
277,1.7,2,,0.036942,-0.919846,-0.54158
278,2.5,3,,0.025894,-0.942596,-0.600861
279,2.6,3,,0.047607,-0.88559,-0.56131
280,1.9,2,,0.041458,-0.839752,-0.472122
281,1.8,2,,0.091919,-0.927322,-0.542984
282,1.3,1,,0.08252,-0.879272,-0.625504
283,2.2,2,,0.07135,-0.772293,-0.511368
284,2.6,3,,0.033249,-0.838989,-0.574951
285,2.4,2,,0.047653,-0.83432,-0.569458
286,2,2,,0.078735,-0.807266,-0.510483
287,2,2,,0.107193,-0.843658,-0.530334
288,2,2,,0.090591,-0.951035,-0.57074
289,2,2,,0.055542,-1.018295,-0.621262
290,2,2,,0.0159,-0.899628,-0.511185
291,2,2,,0.026123,-0.854843,-0.457352
292,2,2,,0.092972,-0.907333,-0.498108
293,2,2,,0.125122,-0.899841,-0.555969
294,2,2,,0.163086,-0.789581,-0.451508
295,2,2,,0.17067,-0.739182,-0.392288
296,2,2,,0.169067,-0.759506,-0.424606
297,2,2,,0.216568,-0.790543,-0.464783
298,2,2,,0.226852,-0.794678,-0.448318
299,2,2,,0.169601,-0.925385,-0.472977
